"","zipcode","n"
"1",10001,65
"2",10002,24
"3",10003,82
"4",10004,51
"5",10005,9
"6",10006,5
"7",10007,17
"8",10009,16
"9",10010,50
"10",10011,110
"11",10012,11
"12",10013,34
"13",10014,26
"14",10016,96
"15",10017,47
"16",10018,29
"17",10019,83
"18",10020,2
"19",10021,25
"20",10022,86
"21",10023,64
"22",10024,64
"23",10025,106
"24",10026,39
"25",10027,89
"26",10028,22
"27",10029,41
"28",10030,32
"29",10031,62
"30",10032,32
"31",10033,35
"32",10034,2
"33",10035,37
"34",10036,29
"35",10037,26
"36",10038,21
"37",10039,18
"38",10040,9
"39",10041,3
"40",10044,2
"41",10048,1
"42",10065,49
"43",10075,9
"44",10111,1
"45",10128,9
"46",10282,1
"47",10301,9
"48",10302,1
"49",10304,12
"50",10305,21
"51",10306,25
"52",10307,1
"53",10308,1
"54",10309,4
"55",10310,18
"56",10312,2
"57",10314,6
"58",10451,47
"59",10452,14
"60",10453,20
"61",10454,28
"62",10455,27
"63",10456,9
"64",10457,42
"65",10458,18
"66",10459,3
"67",10460,8
"68",10461,5
"69",10462,6
"70",10463,4
"71",10464,1
"72",10465,22
"73",10466,6
"74",10467,15
"75",10468,26
"76",10469,6
"77",10470,1
"78",10471,3
"79",10472,1
"80",10473,2
"81",10474,1
"82",10475,1
"83",11004,1
"84",11101,70
"85",11102,11
"86",11103,30
"87",11104,7
"88",11105,2
"89",11106,19
"90",11201,156
"91",11203,13
"92",11204,7
"93",11205,22
"94",11206,25
"95",11207,16
"96",11208,12
"97",11209,5
"98",11210,3
"99",11211,23
"100",11212,12
"101",11213,17
"102",11214,9
"103",11215,37
"104",11216,27
"105",11217,40
"106",11218,4
"107",11219,2
"108",11220,6
"109",11221,3
"110",11222,21
"111",11223,3
"112",11224,32
"113",11225,20
"114",11226,28
"115",11228,7
"116",11229,5
"117",11230,1
"118",11231,27
"119",11232,15
"120",11233,20
"121",11234,7
"122",11235,17
"123",11236,3
"124",11237,7
"125",11238,31
"126",11249,17
"127",11354,7
"128",11355,10
"129",11356,1
"130",11357,1
"131",11358,6
"132",11360,1
"133",11361,1
"134",11362,2
"135",11364,1
"136",11365,9
"137",11366,4
"138",11367,1
"139",11368,5
"140",11369,2
"141",11372,26
"142",11373,45
"143",11374,12
"144",11375,26
"145",11377,26
"146",11378,1
"147",11379,9
"148",11385,4
"149",11411,1
"150",11412,2
"151",11413,1
"152",11414,1
"153",11415,8
"154",11416,2
"155",11417,1
"156",11418,25
"157",11419,6
"158",11420,1
"159",11421,17
"160",11422,1
"161",11423,5
"162",11426,7
"163",11428,1
"164",11432,13
"165",11433,16
"166",11434,36
"167",11435,6
"168",11436,5
"169",11691,11
"170",11692,3
"171",11693,12
"172",11694,11
